date,strategy_return,long_return,short_return,long_only_return,capital,capital_long_only,pnl,pnl_pct,is_correct,win_rate_total,win_rate_20d,total_days
2023-07-18,-0.001928,0.006864,0.008792,0.006864,28030367.0,28030367.0,27030367.0,27.030367,0,0.5529,0.35,3156
2023-07-19,-0.002512,0.001153,0.003664,0.001153,27959960.0,27959960.0,26959960.0,26.95996,0,0.5527,0.35,3157
2023-07-20,-0.000931,-0.004269,-0.003338,-0.004269,27933936.0,27933936.0,26933936.0,26.933936,0,0.5526,0.3,3158
2023-07-21,0.008866,0.013693,0.004827,0.013693,28181596.0,28181596.0,27181596.0,27.181596,1,0.5527,0.35,3159
2023-07-24,0.00308,0.004554,0.001474,0.004554,28268409.0,28268409.0,27268409.0,27.268409,1,0.5528,0.35,3160
2023-07-25,0.009034,0.004045,-0.004989,0.004045,28523786.0,28523786.0,27523786.0,27.523786,1,0.553,0.35,3161
2023-07-26,0.008286,0.001748,-0.006538,0.001748,28760127.0,28760127.0,27760127.0,27.760127,1,0.5531,0.35,3162
2023-07-27,-0.000152,0.008302,0.008454,0.008302,28755764.0,28755764.0,27755764.0,27.755764,0,0.553,0.3,3163
2023-07-28,-0.006079,0.00045,0.006529,0.00045,28580959.0,28580959.0,27580959.0,27.580959,0,0.5528,0.3,3164
2023-07-31,0.001763,0.001917,0.000154,0.001917,28631336.0,28631336.0,27631336.0,27.631336,1,0.5529,0.35,3165
2023-08-01,-0.014415,-0.000216,0.014198,-0.000216,28218625.0,28218625.0,27218625.0,27.218625,0,0.5527,0.35,3166
2023-08-02,0.009595,-0.003204,-0.012799,-0.003204,28489392.0,28489392.0,27489392.0,27.489392,1,0.5529,0.4,3167
2023-08-03,0.00052,-0.005543,-0.006063,-0.005543,28504193.0,28504193.0,27504193.0,27.504193,1,0.553,0.45,3168
2023-08-04,0.003552,0.010125,0.006573,0.010125,28605443.0,28605443.0,27605443.0,27.605443,1,0.5532,0.45,3169
2023-08-07,0.011461,0.011096,-0.000365,0.011096,28933289.0,28933289.0,27933289.0,27.933289,1,0.5533,0.5,3170
2023-08-08,-0.007663,-0.002844,0.004819,-0.002844,28711565.0,28711565.0,27711565.0,27.711565,0,0.5531,0.5,3171
2023-08-09,0.006514,0.001831,-0.004683,0.001831,28898601.0,28898601.0,27898601.0,27.898601,1,0.5533,0.5,3172
2023-08-10,0.015145,0.021421,0.006276,0.021421,29336259.0,29336259.0,28336259.0,28.336259,1,0.5534,0.55,3173
2023-08-14,-0.007249,-0.012855,-0.005606,-0.012855,29123594.0,29123594.0,28123594.0,28.123594,0,0.5532,0.55,3174
2023-08-15,0.006127,0.003147,-0.00298,0.003147,29302036.0,29302036.0,28302036.0,28.302036,1,0.5534,0.6,3175
2023-08-16,0.01429,0.004873,-0.009418,0.004873,29720774.0,29720774.0,28720774.0,28.720774,1,0.5535,0.65,3176
2023-08-17,-0.006745,-0.005793,0.000951,-0.005793,29520316.0,29520316.0,28520316.0,28.520316,0,0.5534,0.65,3177
2023-08-18,0.013052,0.001828,-0.011224,0.001828,29905614.0,29905614.0,28905614.0,28.905614,1,0.5535,0.7,3178
2023-08-21,0.003498,0.00496,0.001462,0.00496,30010228.0,30010228.0,29010228.0,29.010228,1,0.5536,0.7,3179
2023-08-22,-0.00708,0.0029,0.009981,0.0029,29797749.0,29797749.0,28797749.0,28.797749,0,0.5535,0.65,3180
2023-08-23,0.004011,0.010081,0.00607,0.010081,29917254.0,29917254.0,28917254.0,28.917254,1,0.5536,0.65,3181
2023-08-24,0.001776,0.007154,0.005379,0.007154,29970381.0,29970381.0,28970381.0,28.970381,1,0.5537,0.65,3182
2023-08-25,-0.002059,0.003642,0.005701,0.003642,29908677.0,29908677.0,28908677.0,28.908677,0,0.5536,0.65,3183
2023-08-28,-0.007356,0.001315,0.008671,0.001315,29688663.0,29688663.0,28688663.0,28.688663,0,0.5534,0.65,3184
2023-08-29,-0.008186,-0.003554,0.004632,-0.003554,29445640.0,29445640.0,28445640.0,28.44564,0,0.5532,0.6,3185
2023-08-30,-0.00623,-0.003867,0.002363,-0.003867,29262192.0,29262192.0,28262192.0,28.262192,0,0.553,0.6,3186
2023-08-31,-0.001655,0.002689,0.004345,0.002689,29213748.0,29213748.0,28213748.0,28.213748,0,0.5529,0.55,3187
2023-09-01,0.006869,0.011644,0.004775,0.011644,29414416.0,29414416.0,28414416.0,28.414416,1,0.553,0.55,3188
2023-09-05,-0.004195,-0.004719,-0.000524,-0.004719,29291012.0,29291012.0,28291012.0,28.291012,0,0.5528,0.5,3189
2023-09-06,-0.013072,-0.004712,0.00836,-0.004712,28908108.0,28908108.0,27908108.0,27.908108,0,0.5527,0.45,3190
2023-09-07,-0.006926,-0.004446,0.00248,-0.004446,28707904.0,28707904.0,27707904.0,27.707904,0,0.5525,0.45,3191
2023-09-08,0.009084,0.002687,-0.006397,0.002687,28968686.0,28968686.0,27968686.0,27.968686,1,0.5526,0.45,3192
2023-09-11,-0.009431,-0.00323,0.0062,-0.00323,28695497.0,28695497.0,27695497.0,27.695497,0,0.5525,0.4,3193
2023-09-12,0.011557,0.008396,-0.003161,0.008396,29027130.0,29027130.0,28027130.0,28.02713,1,0.5526,0.45,3194
2023-09-13,0.00527,0.002508,-0.002762,0.002508,29180092.0,29180092.0,28180092.0,28.180092,1,0.5527,0.45,3195
2023-09-14,-0.000336,0.007142,0.007477,0.007142,29170300.0,29170300.0,28170300.0,28.1703,0,0.5526,0.4,3196
2023-09-15,-0.011969,-0.001159,0.01081,-0.001159,28821147.0,28821147.0,27821147.0,27.821147,0,0.5524,0.4,3197
2023-09-19,0.00849,0.007456,-0.001034,0.007456,29065832.0,29065832.0,28065832.0,28.065832,1,0.5525,0.4,3198
2023-09-20,0.002568,-0.016257,-0.018825,-0.016257,29140470.0,29140470.0,28140470.0,28.14047,1,0.5527,0.4,3199
2023-09-21,0.005143,0.002883,-0.00226,0.002883,29290344.0,29290344.0,28290344.0,28.290344,1,0.5528,0.45,3200
2023-09-22,-0.021119,-0.003371,0.017747,-0.003371,28671775.0,28671775.0,27671775.0,27.671775,0,0.5526,0.4,3201
2023-09-25,0.009919,0.00327,-0.006649,0.00327,28956163.0,28956163.0,27956163.0,27.956163,1,0.5528,0.4,3202
2023-09-26,0.002171,0.000382,-0.00179,0.000382,29019034.0,29019034.0,28019034.0,28.019034,1,0.5529,0.45,3203
2023-09-27,-0.001795,0.003426,0.005222,0.003426,28966933.0,28966933.0,27966933.0,27.966933,0,0.5527,0.45,3204
2023-09-28,-0.007663,-0.006847,0.000816,-0.006847,28744968.0,28744968.0,27744968.0,27.744968,0,0.5526,0.45,3205
2023-09-29,-0.002994,-0.015804,-0.01281,-0.015804,28658914.0,28658914.0,27658914.0,27.658914,0,0.5524,0.45,3206
2023-10-02,-0.001737,-0.013086,-0.011349,-0.013086,28609120.0,28609120.0,27609120.0,27.60912,0,0.5522,0.45,3207
2023-10-03,-0.002728,-0.024336,-0.021608,-0.024336,28531065.0,28531065.0,27531065.0,27.531065,0,0.5521,0.4,3208
2023-10-04,0.008595,-0.012039,-0.020634,-0.012039,28776285.0,28776285.0,27776285.0,27.776285,1,0.5522,0.45,3209
2023-10-05,-0.00735,0.009105,0.016455,0.009105,28564784.0,28564784.0,27564784.0,27.564784,0,0.552,0.45,3210
2023-10-06,-0.003791,0.001302,0.005093,0.001302,28456485.0,28456485.0,27456485.0,27.456485,0,0.5519,0.45,3211
2023-10-10,-0.001028,0.00447,0.005498,0.00447,28427230.0,28427230.0,27427230.0,27.42723,0,0.5517,0.4,3212
2023-10-11,-0.001585,-0.003763,-0.002179,-0.003763,28382184.0,28382184.0,27382184.0,27.382184,0,0.5515,0.4,3213
2023-10-12,0.017016,0.016627,-0.000388,0.016627,28865133.0,28865133.0,27865133.0,27.865133,1,0.5516,0.4,3214
