date,strategy_return,long_return,short_return,long_only_return,capital,capital_long_only,pnl,pnl_pct,is_correct,win_rate_total,win_rate_20d,total_days
2020-04-14,-0.007112,0.002789,0.009901,0.002789,14878152.0,14878152.0,13878152.0,13.878152,0,0.5308,0.45,2389
2020-04-15,0.014005,0.011419,-0.002586,0.011419,15086524.0,15086524.0,14086524.0,14.086524,1,0.531,0.45,2390
2020-04-16,-0.01891,-0.014175,0.004736,-0.014175,14801232.0,14801232.0,13801232.0,13.801232,0,0.5307,0.45,2391
2020-04-17,-0.020078,-0.008828,0.01125,-0.008828,14504058.0,14504058.0,13504058.0,13.504058,0,0.5305,0.4,2392
2020-04-20,-0.017752,-0.006854,0.010898,-0.006854,14246585.0,14246585.0,13246585.0,13.246585,0,0.5303,0.4,2393
2020-04-21,0.008441,0.003787,-0.004654,0.003787,14366841.0,14366841.0,13366841.0,13.366841,1,0.5305,0.4,2394
2020-04-22,0.009939,0.006769,-0.00317,0.006769,14509634.0,14509634.0,13509634.0,13.509634,1,0.5307,0.45,2395
2020-04-23,-0.007877,0.021836,0.029713,0.021836,14395338.0,14395338.0,13395338.0,13.395338,0,0.5305,0.45,2396
2020-04-24,0.00558,-0.000739,-0.00632,-0.000739,14475665.0,14475665.0,13475665.0,13.475665,1,0.5307,0.45,2397
2020-04-27,0.015139,0.031186,0.016048,0.031186,14694811.0,14694811.0,13694811.0,13.694811,1,0.5309,0.45,2398
2020-04-28,-0.013811,-0.001744,0.012068,-0.001744,14491856.0,14491856.0,13491856.0,13.491856,0,0.5306,0.45,2399
2020-04-30,0.035375,0.014538,-0.020837,0.014538,15004503.0,15004503.0,14004503.0,14.004503,1,0.5308,0.45,2400
2020-05-01,-0.034887,-0.031746,0.003141,-0.031746,14481039.0,14481039.0,13481039.0,13.481039,0,0.5306,0.4,2401
2020-05-07,0.007207,-0.000245,-0.007451,-0.000245,14585398.0,14585398.0,13585398.0,13.585398,1,0.5308,0.45,2402
2020-05-08,0.006681,0.020468,0.013787,0.020468,14682843.0,14682843.0,13682843.0,13.682843,1,0.531,0.5,2403
2020-05-11,-0.00976,0.016817,0.026577,0.016817,14539542.0,14539542.0,13539542.0,13.539542,0,0.5308,0.45,2404
2020-05-12,0.006244,-0.006483,-0.012727,-0.006483,14630332.0,14630332.0,13630332.0,13.630332,1,0.531,0.5,2405
2020-05-13,0.004924,0.012135,0.007211,0.012135,14702374.0,14702374.0,13702374.0,13.702374,1,0.5312,0.55,2406
2020-05-14,-0.003979,-0.025696,-0.021717,-0.025696,14643871.0,14643871.0,13643871.0,13.643871,0,0.531,0.55,2407
2020-05-15,0.003931,-0.019165,-0.023096,-0.019165,14701442.0,14701442.0,13701442.0,13.701442,1,0.5311,0.55,2408
2020-05-18,0.002474,0.005014,0.00254,0.005014,14737814.0,14737814.0,13737814.0,13.737814,1,0.5313,0.6,2409
2020-05-19,-0.00426,0.002403,0.006662,0.002403,14675037.0,14675037.0,13675037.0,13.675037,0,0.5311,0.55,2410
2020-05-20,0.015458,0.018264,0.002806,0.018264,14901891.0,14901891.0,13901891.0,13.901891,1,0.5313,0.6,2411
2020-05-21,0.008903,-0.003449,-0.012352,-0.003449,15034562.0,15034562.0,14034562.0,14.034562,1,0.5315,0.65,2412
2020-05-22,-0.01212,-0.021996,-0.009876,-0.021996,14852342.0,14852342.0,13852342.0,13.852342,0,0.5313,0.65,2413
2020-05-26,-0.008833,0.001749,0.010582,0.001749,14721158.0,14721158.0,13721158.0,13.721158,0,0.5311,0.6,2414
2020-05-27,-0.006549,0.014238,0.020787,0.014238,14624748.0,14624748.0,13624748.0,13.624748,0,0.5308,0.55,2415
2020-05-28,0.008271,-0.001302,-0.009574,-0.001302,14745715.0,14745715.0,13745715.0,13.745715,1,0.531,0.6,2416
2020-05-29,0.007762,0.003195,-0.004566,0.003195,14860165.0,14860165.0,13860165.0,13.860165,1,0.5312,0.6,2417
2020-06-01,-0.000544,0.002182,0.002727,0.002182,14852079.0,14852079.0,13852079.0,13.852079,0,0.531,0.55,2418
2020-06-02,0.001208,0.008401,0.007193,0.008401,14870023.0,14870023.0,13870023.0,13.870023,1,0.5312,0.6,2419
2020-06-03,0.010849,0.000846,-0.010003,0.000846,15031355.0,15031355.0,14031355.0,14.031355,1,0.5314,0.6,2420
2020-06-04,-0.024498,-0.025287,-0.000789,-0.025287,14663117.0,14663117.0,13663117.0,13.663117,0,0.5312,0.6,2421
2020-06-05,0.000369,0.007494,0.007125,0.007494,14668524.0,14668524.0,13668524.0,13.668524,1,0.5314,0.6,2422
2020-06-08,-0.004566,-0.000969,0.003597,-0.000969,14601540.0,14601540.0,13601540.0,13.60154,0,0.5312,0.55,2423
2020-06-09,-0.001865,-0.008042,-0.006177,-0.008042,14574311.0,14574311.0,13574311.0,13.574311,0,0.5309,0.55,2424
2020-06-10,0.001842,0.008124,0.006281,0.008124,14601161.0,14601161.0,13601161.0,13.601161,1,0.5311,0.55,2425
2020-06-11,-0.00072,-0.018199,-0.017479,-0.018199,14590650.0,14590650.0,13590650.0,13.59065,0,0.5309,0.5,2426
2020-06-12,-0.024686,-0.005098,0.019589,-0.005098,14230460.0,14230460.0,13230460.0,13.23046,0,0.5307,0.5,2427
2020-06-15,-0.011436,-0.022577,-0.011141,-0.022577,14067718.0,14067718.0,13067718.0,13.067718,0,0.5305,0.45,2428
2020-06-16,0.01129,0.022387,0.011097,0.022387,14226543.0,14226543.0,13226543.0,13.226543,1,0.5307,0.45,2429
2020-06-17,-0.002336,-0.010782,-0.008446,-0.010782,14193305.0,14193305.0,13193305.0,13.193305,0,0.5305,0.45,2430
2020-06-18,0.002574,0.008935,0.006361,0.008935,14229835.0,14229835.0,13229835.0,13.229835,1,0.5306,0.45,2431
2020-06-19,0.008959,-0.003354,-0.012314,-0.003354,14357323.0,14357323.0,13357323.0,13.357323,1,0.5308,0.45,2432
2020-06-22,-0.001375,-0.004951,-0.003575,-0.004951,14337579.0,14337579.0,13337579.0,13.337579,0,0.5306,0.45,2433
2020-06-23,-0.007619,-0.006254,0.001366,-0.006254,14228334.0,14228334.0,13228334.0,13.228334,0,0.5304,0.45,2434
2020-06-24,0.026311,-0.000283,-0.026594,-0.000283,14602693.0,14602693.0,13602693.0,13.602693,1,0.5306,0.5,2435
2020-06-25,0.003074,-1.5e-05,-0.003089,-1.5e-05,14647587.0,14647587.0,13647587.0,13.647587,1,0.5308,0.5,2436
2020-06-26,-0.00396,-0.005479,-0.001519,-0.005479,14589581.0,14589581.0,13589581.0,13.589581,0,0.5306,0.45,2437
2020-06-29,0.011151,0.002861,-0.00829,0.002861,14752272.0,14752272.0,13752272.0,13.752272,1,0.5308,0.5,2438
2020-06-30,0.011653,-0.007403,-0.019056,-0.007403,14924187.0,14924187.0,13924187.0,13.924187,1,0.531,0.5,2439
2020-07-01,-0.013724,-0.028521,-0.014797,-0.028521,14719373.0,14719373.0,13719373.0,13.719373,0,0.5307,0.45,2440
2020-07-02,0.006744,0.007085,0.000341,0.007085,14818635.0,14818635.0,13818635.0,13.818635,1,0.5309,0.5,2441
2020-07-06,-0.000545,0.022313,0.022857,0.022313,14810562.0,14810562.0,13810562.0,13.810562,0,0.5307,0.45,2442
2020-07-07,-0.018653,-0.010532,0.008121,-0.010532,14534303.0,14534303.0,13534303.0,13.534303,0,0.5305,0.45,2443
2020-07-08,-0.008468,-0.015382,-0.006915,-0.015382,14411229.0,14411229.0,13411229.0,13.411229,0,0.5303,0.45,2444
