round,sig_coef,size_min,short_amp,target_vol,train_calmar_median,train_annual_r,train_max_dd,test_calmar_median,test_annual_r,test_max_dd
Round3,1.6,0.2,1.6,0.015,14.864515168557958,0.800140726573924,-0.10885766667200483,3.0160223921100258,0.25625201267168496,-0.07340756101404443
Round3,1.6,0.3,1.6,0.015,14.862248393186718,0.8250136956802401,-0.10853576857233231,2.9030451871171437,0.24721622436300317,-0.07588652114294966
Round3,2.0,0.3,1.5,0.015,14.837120297439457,0.9270866795843946,-0.1156418190232327,2.910521960167716,0.2856949852572159,-0.08732051601617688
Round3,1.8,0.3,1.6,0.015,14.825978422530307,0.9088618214599964,-0.1188124247494364,2.9277800553172857,0.2769429224557556,-0.08426341984168598
Round3,1.4,0.3,1.5,0.02,14.812442041045227,0.9044761229808593,-0.11286418801717236,2.774605451849305,0.25524099389756216,-0.08515453018161871
Round3,1.5,0.2,1.6,0.02,14.80973566347792,0.9827471763932218,-0.12493322136348589,2.985193272997936,0.31149050821965285,-0.09182411726382939
Round3,1.4,0.3,1.8,0.02,14.804697901593748,1.0947084184953555,-0.13841515746117167,2.9409596574593064,0.3205603468370546,-0.09989491038683371
Round3,1.8,0.3,1.5,0.02,14.802876192772562,1.086646524226309,-0.12493273001538772,2.8729981553439363,0.33775534059623546,-0.1058034858408716
Round3,1.4,0.2,1.6,0.02,14.787203788835129,0.9284849812823268,-0.12086029049708631,2.979815938561789,0.29050941157225085,-0.08603678365737559
Round3,1.2,0.2,1.5,0.02,14.76159225438526,0.7645589524407428,-0.10054213194772835,2.885313754912009,0.23141239477263476,-0.07085782060773999
Round4,1.4,0.3,2.0,0.02,14.083121041091024,1.1667159581779458,-0.1111247001803687,34.222587516295405,2.907416618701152,-0.0849560722816987
Round4,1.0,0.3,2.0,0.02,14.069570937104316,0.8543168174492197,-0.08382471264001462,25.235863261521608,1.727909918206577,-0.06847041055422139
Round4,1.5,0.3,2.0,0.02,14.023188206065132,1.240704978330709,-0.11718796555928278,37.93713696901229,3.2626638179474234,-0.08600184617548824
Round4,1.2,0.3,2.0,0.02,13.990910438394263,1.015749792669813,-0.09629817189685735,29.56796275122343,2.288328674041605,-0.07739216574692558
Round4,1.6,0.3,2.0,0.015,13.987419999644871,0.9908667175217409,-0.0937355071634967,31.80795165950312,2.265973944742613,-0.07123922876264865
Round4,1.5,0.3,2.0,0.015,13.90899291870582,0.9279430713246499,-0.08833262456037594,29.958558258750195,2.04343211770494,-0.06820862673216598
