round,dd_t1,dd_s1,dd_t2,dd_s2,train_calmar,test_calmar,test_annual_r,test_max_dd,no_dd_max_dd,dd_improvement
Round3,-0.15,0.7,-0.2,0.1,14.107585963064256,2.8662538631811714,0.392718717888888,-0.12171362521054327,-0.12171362521054327,0.0
Round3,-0.15,0.7,-0.2,0.0,14.107585963064256,2.8662538631811714,0.392718717888888,-0.12171362521054327,-0.12171362521054327,0.0
Round3,-0.15,0.7,-0.18,0.3,14.107585963064256,2.8662538631811714,0.392718717888888,-0.12171362521054327,-0.12171362521054327,0.0
Round3,-0.15,0.7,-0.18,0.2,14.107585963064256,2.8662538631811714,0.392718717888888,-0.12171362521054327,-0.12171362521054327,0.0
Round3,-0.15,0.7,-0.18,0.1,14.107585963064256,2.8662538631811714,0.392718717888888,-0.12171362521054327,-0.12171362521054327,0.0
Round3,-0.15,0.7,-0.18,0.0,14.107585963064256,2.8662538631811714,0.392718717888888,-0.12171362521054327,-0.12171362521054327,0.0
Round3,-0.15,0.5,-0.25,0.3,14.107585963064256,2.8662538631811714,0.392718717888888,-0.12171362521054327,-0.12171362521054327,0.0
Round3,-0.15,0.5,-0.25,0.2,14.107585963064256,2.8662538631811714,0.392718717888888,-0.12171362521054327,-0.12171362521054327,0.0
Round3,-0.1,0.9,-0.15,0.2,14.107585963064256,2.824914860011914,0.38443297842156965,-0.12092368710073949,-0.12171362521054327,-0.0007899381098037811
Round3,-0.1,0.9,-0.18,0.0,14.107585963064256,2.824914860011914,0.38443297842156965,-0.12092368710073949,-0.12171362521054327,-0.0007899381098037811
Round3,-0.1,0.9,-0.18,0.1,14.107585963064256,2.824914860011914,0.38443297842156965,-0.12092368710073949,-0.12171362521054327,-0.0007899381098037811
Round3,-0.1,0.9,-0.18,0.2,14.107585963064256,2.824914860011914,0.38443297842156965,-0.12092368710073949,-0.12171362521054327,-0.0007899381098037811
Round3,-0.1,0.9,-0.18,0.3,14.107585963064256,2.824914860011914,0.38443297842156965,-0.12092368710073949,-0.12171362521054327,-0.0007899381098037811
Round3,-0.1,0.9,-0.2,0.0,14.107585963064256,2.824914860011914,0.38443297842156965,-0.12092368710073949,-0.12171362521054327,-0.0007899381098037811
Round3,-0.1,0.9,-0.2,0.1,14.107585963064256,2.824914860011914,0.38443297842156965,-0.12092368710073949,-0.12171362521054327,-0.0007899381098037811
Round3,-0.1,0.9,-0.2,0.2,14.107585963064256,2.824914860011914,0.38443297842156965,-0.12092368710073949,-0.12171362521054327,-0.0007899381098037811
Round3,-0.1,0.9,-0.2,0.3,14.107585963064256,2.824914860011914,0.38443297842156965,-0.12092368710073949,-0.12171362521054327,-0.0007899381098037811
Round4,-0.06,0.5,-0.12,0.3,15.281421121858349,118.1986181258373,2.478677290550328,-0.08430204215720136,-0.08430204215720136,0.0
Round4,-0.06,0.5,-0.12,0.2,15.281421121858349,118.1986181258373,2.478677290550328,-0.08430204215720136,-0.08430204215720136,0.0
Round4,-0.06,0.5,-0.12,0.1,15.281421121858349,118.1986181258373,2.478677290550328,-0.08430204215720136,-0.08430204215720136,0.0
Round4,-0.06,0.5,-0.12,0.0,15.281421121858349,118.1986181258373,2.478677290550328,-0.08430204215720136,-0.08430204215720136,0.0
Round4,-0.06,0.5,-0.2,0.0,15.281421121858349,118.1986181258373,2.478677290550328,-0.08430204215720136,-0.08430204215720136,0.0
Round4,-0.06,0.5,-0.2,0.1,15.281421121858349,118.1986181258373,2.478677290550328,-0.08430204215720136,-0.08430204215720136,0.0
Round4,-0.06,0.5,-0.2,0.2,15.281421121858349,118.1986181258373,2.478677290550328,-0.08430204215720136,-0.08430204215720136,0.0
Round4,-0.06,0.5,-0.2,0.3,15.281421121858349,118.1986181258373,2.478677290550328,-0.08430204215720136,-0.08430204215720136,0.0
Round4,-0.06,0.5,-0.25,0.0,15.281421121858349,118.1986181258373,2.478677290550328,-0.08430204215720136,-0.08430204215720136,0.0
Round4,-0.06,0.5,-0.25,0.1,15.281421121858349,118.1986181258373,2.478677290550328,-0.08430204215720136,-0.08430204215720136,0.0
Round4,-0.06,0.5,-0.25,0.2,15.281421121858349,118.1986181258373,2.478677290550328,-0.08430204215720136,-0.08430204215720136,0.0
Round4,-0.06,0.5,-0.25,0.3,15.281421121858349,118.1986181258373,2.478677290550328,-0.08430204215720136,-0.08430204215720136,0.0
Round4,-0.06,0.5,-0.18,0.3,15.281421121858349,118.1986181258373,2.478677290550328,-0.08430204215720136,-0.08430204215720136,0.0
Round4,-0.06,0.5,-0.18,0.2,15.281421121858349,118.1986181258373,2.478677290550328,-0.08430204215720136,-0.08430204215720136,0.0
Round4,-0.06,0.5,-0.18,0.1,15.281421121858349,118.1986181258373,2.478677290550328,-0.08430204215720136,-0.08430204215720136,0.0
Round4,-0.06,0.5,-0.18,0.0,15.281421121858349,118.1986181258373,2.478677290550328,-0.08430204215720136,-0.08430204215720136,0.0
Round4,-0.06,0.5,-0.15,0.3,15.281421121858349,118.1986181258373,2.478677290550328,-0.08430204215720136,-0.08430204215720136,0.0
Round4,-0.06,0.5,-0.15,0.2,15.281421121858349,118.1986181258373,2.478677290550328,-0.08430204215720136,-0.08430204215720136,0.0
Round4,-0.06,0.5,-0.15,0.1,15.281421121858349,118.1986181258373,2.478677290550328,-0.08430204215720136,-0.08430204215720136,0.0
Round4,-0.06,0.5,-0.15,0.0,15.281421121858349,118.1986181258373,2.478677290550328,-0.08430204215720136,-0.08430204215720136,0.0
Round5★,-0.05,0.5,-0.25,0.3,11.871062280228255,-0.48735021548466834,0.018616269625414628,-0.17087313194331705,-0.2790602268662787,-0.10818709492296164
Round5★,-0.05,0.5,-0.1,0.1,11.871062280228255,-1.393172715103635,-0.07135499567455073,-0.12731460686169044,-0.2790602268662787,-0.15174562000458824
Round5★,-0.05,0.5,-0.1,0.2,11.871062280228255,-1.1901603509543597,-0.06993506752294865,-0.1398824651943686,-0.2790602268662787,-0.1391777616719101
Round5★,-0.05,0.5,-0.1,0.3,11.871062280228255,-1.175841074039814,-0.06313757831203148,-0.14900222678850444,-0.2790602268662787,-0.13005800007777424
