date,signal_strength,strategy_return,us_return
2022-11-14,,-0.008367,0.023996
2022-11-15,,0.003046,-0.015852
2022-11-16,,0.003582,0.013656
2022-11-17,,0.008949,-0.015269
2022-11-18,,0.01119,-0.012138
2022-11-21,,-0.002231,0.00135
2022-11-22,,0.011698,-0.014469
2022-11-25,,0.00038,0.011299
2022-11-28,,-0.003407,0.000561
2022-11-29,,-0.004731,-0.00617
2022-11-30,,-0.001647,-0.003174
2022-12-01,,-0.008587,0.034466
2022-12-02,,-0.007982,-0.000136
2022-12-05,,-0.00391,-0.0013
2022-12-06,,0.006496,-0.028844
2022-12-07,,0.003003,-0.015591
2022-12-08,,-0.000111,-0.00602
2022-12-09,,0.007442,0.009661
2022-12-12,,0.002129,-0.004356
2022-12-13,,0.008224,0.00251
2022-12-14,,0.002857,0.0
2022-12-15,,0.001046,-0.00744
2022-12-16,,-0.005377,-0.016434
2022-12-19,,0.004498,-0.018687
2022-12-20,,-0.005493,-0.016055
2022-12-21,,-0.00825,-0.011644
2022-12-22,,0.00143,0.015939
2022-12-23,,0.007016,-0.025693
2022-12-27,,0.003491,0.006845
2022-12-28,,-0.000802,-0.016225
2022-12-29,,-0.004463,-0.008403
2022-12-30,,-0.007511,0.02574
2023-01-04,,-0.008563,-0.002702
2023-01-05,,0.001486,0.014487
2023-01-06,,0.009594,-0.00929
2023-01-10,,-0.010938,0.023481
2023-01-11,,0.01668,0.012569
2023-01-12,,0.017249,0.026981
2023-01-13,,0.002127,0.001665
2023-01-17,,-7.2e-05,0.009393
2023-01-18,,0.00491,0.000716
2023-01-19,,-0.004937,-0.013019
2023-01-20,,0.010609,-0.016596
2023-01-23,,0.001613,0.024246
2023-01-24,,0.003325,0.015614
2023-01-25,,0.008,-0.001133
2023-01-26,,-0.005649,0.005107
2023-01-27,,0.001583,0.020464
2023-01-30,,-0.000989,0.022682
2023-01-31,,0.011956,-0.01704
2023-02-01,,-0.002752,0.022907
2023-02-02,,-0.003843,0.018964
2023-02-03,,0.002764,0.030623
2023-02-06,,-0.000156,-0.030802
2023-02-07,,-0.002783,-0.001454
2023-02-08,,-0.001097,0.002316
2023-02-09,,0.007716,-0.008516
2023-02-10,,-0.002386,-0.001864
2023-02-13,,-0.00296,-0.01174
2023-02-14,,0.003259,0.014647
2023-02-15,,-0.006217,0.011974
2023-02-16,,0.003819,0.011701
2023-02-17,,0.001576,-0.021832
2023-02-21,,-0.005032,0.000199
2023-02-22,,-0.006522,-0.033406
2023-02-24,,0.000331,0.005084
2023-02-27,,0.007453,-0.015736
2023-02-28,,-0.000982,0.012373
2023-03-01,,0.007688,-0.000687
2023-03-02,,-0.006369,-0.012574
2023-03-03,,0.007324,-0.00334
