,PCA_PLAIN
2019-12-18,-0.004084055782593384
2019-12-19,0.00033078704939605986
2019-12-20,0.00077844521465242
2019-12-23,0.0002214533242865203
2019-12-24,0.00376645898554368
2019-12-26,-0.0002427909807182399
2019-12-27,0.0008358746363301802
2019-12-30,-0.0027147047509498198
2020-01-06,0.0015013536187883198
2020-01-07,0.007355404407922844
2020-01-08,0.008183729987040336
2020-01-09,-0.000287696649910219
2020-01-10,-0.003660819690566675
2020-01-14,-0.0005980846101096807
2020-01-15,-0.00187671087994118
2020-01-16,-0.00360253176915774
2020-01-17,-0.006328833211155879
2020-01-21,-0.0038727622689613598
2020-01-22,0.003576022538760185
2020-01-23,0.0014566846587570352
2020-01-24,-3.9402566066924413e-05
2020-01-27,-0.0020309153045423413
2020-01-28,-0.0010391964745706402
2020-01-29,-0.0023069199132314424
2020-01-30,-0.002574770485447715
2020-01-31,0.0015441404015635802
2020-02-03,-0.00998107583077188
2020-02-04,-0.00630358114949242
2020-02-05,0.006120682766962381
2020-02-06,-0.0018130386096858807
2020-02-07,-0.0006077658921061398
2020-02-10,-0.00396313364055298
2020-02-12,0.00247979261212438
2020-02-13,0.0029343127565169404
2020-02-14,-0.00546101288444464
2020-02-18,0.0025310570893382796
2020-02-19,-0.00359150130430408
2020-02-20,-0.0012036679169803396
2020-02-21,-0.0046318891637203595
2020-02-25,-0.0048834792260581605
2020-02-26,-0.00229780199606896
2020-02-27,0.0029245944984590405
2020-02-28,0.0005002083038309797
2020-03-02,-0.0011055478000136162
2020-03-03,0.0026841020211735775
2020-03-04,-0.0038741742120730603
2020-03-05,-0.00363975047020982
2020-03-06,6.16594480606393e-05
2020-03-09,0.01937272302562822
2020-03-10,-0.01475457293138328
2020-03-11,0.002411799098926219
2020-03-12,-0.0005030673664242792
2020-03-13,-0.026507851363285838
2020-03-16,-0.0177236102953546
2020-03-17,0.004573834674964562
2020-03-18,-0.02254901068594278
2020-03-19,0.0093891090495267
2020-03-23,-0.0004198990091957809
2020-03-24,-0.01087741071569364
2020-03-25,0.03368606811173592
2020-03-26,-0.003755374369400399
2020-03-27,-0.01329305966365202
2020-03-30,0.014932118503989115
2020-03-31,0.006343954108500897
2020-04-01,0.02722608019187356
2020-04-02,0.0015652610529808203
2020-04-03,-0.02814996276806942
2020-04-06,-0.013356450540605781
2020-04-07,-0.011753117500273181
2020-04-08,-0.00636707163366358
2020-04-09,-0.0005145524601252605
2020-04-13,-0.00456995162943076
2020-04-14,-0.0159665989092105
2020-04-15,-0.004176533484553979
2020-04-16,-0.0042889377513924
2020-04-17,-0.00327880659839582
2020-04-20,-0.00192139961367344
2020-04-21,0.01227368541777588
2020-04-22,0.010503634916275281
2020-04-23,0.018335136695165743
