,PCA_SUB
2013-08-14,7.739047659428009e-05
2013-08-15,0.0036624081359914835
2013-08-16,-0.0016265616422742764
2013-08-19,0.0011101132276275202
2013-08-20,0.004835651420732501
2013-08-21,0.008598790184130458
2013-08-22,-0.0007210139448963534
2013-08-23,0.0065379208255894605
2013-08-26,-0.0020726069318164992
2013-08-27,-0.0005241545645874636
2013-08-28,0.015487188008329681
2013-08-29,0.006556673199555085
2013-08-30,0.00605565076884483
2013-09-03,-0.0029973369766760198
2013-09-04,-0.004080503722550681
2013-09-05,-0.00223615710569504
2013-09-06,0.00984786129529882
2013-09-09,-0.01126674005963138
2013-09-10,0.003353525067359857
2013-09-11,0.0006135505362482004
2013-09-12,0.0039736145970029795
2013-09-13,-0.0004778729376646603
2013-09-17,-0.006494647198354399
2013-09-18,-0.00484172643502826
2013-09-19,0.001552256949238084
2013-09-20,-0.0016055786156951805
2013-09-24,0.002378354606542564
2013-09-25,-0.00286136056401356
2013-09-26,0.0044582943998529205
2013-09-27,0.00426414135767426
2013-09-30,-0.003964258363654721
2013-10-01,-0.0017284707637723999
2013-10-02,0.00684210665279188
2013-10-03,-0.00046255779372729976
2013-10-04,2.174126222057992e-05
2013-10-07,-0.007155809470656357
2013-10-08,6.908267369712048e-05
2013-10-09,-0.008190475233761178
2013-10-10,0.0025121623464958768
2013-10-11,0.0018324856513487996
2013-10-15,0.00028276978899815695
2013-10-16,2.408864959152013e-05
2013-10-17,0.008882568106166338
2013-10-18,0.00358998808057458
2013-10-21,0.00671603472924432
2013-10-22,-0.0013397644395190035
2013-10-23,0.004893435746108899
2013-10-24,0.0006093533390438798
2013-10-25,-0.001528808143855219
2013-10-28,0.0011282536762345682
2013-10-29,0.0025736015817934203
2013-10-30,0.00193463213703076
2013-10-31,-0.003258630722776461
2013-11-01,-0.00668926314277648
2013-11-05,0.00302306527109534
2013-11-06,-0.0012939006496049798
2013-11-07,-0.0006406012357951
2013-11-08,0.0014731076303759
2013-11-11,-0.00431644428681567
2013-11-12,0.003532810183722505
2013-11-13,-0.00133613053522256
2013-11-14,0.0035734954813888002
2013-11-15,-0.0023990877369602197
2013-11-18,0.0005542692093913806
2013-11-19,0.00022930024885161996
2013-11-20,-0.0017879882831465799
