sector,sector_name,ticker,IC_full,IC_2010_2015,IC_2016_2020,IC_2021_now,n_days,positive_periods,win_rate,decision
transport,運輸物流,9104,-0.001780416826745904,0.01625565036764404,-0.020379651243241606,0.005773617784938683,3790,2,0.4651715039577836,C
transport,運輸物流,9020,-0.013043303554264314,-0.023801355480837165,-0.04444962649111161,0.03902912743888873,3790,1,0.46912928759894457,C
transport,運輸物流,9101,-0.01573195948939539,-0.007006983351546367,-0.03462102456228879,-0.005021517410170428,3790,0,0.4577836411609499,C
transport,運輸物流,9064,-0.017513144034297955,-0.027142179936694547,0.02149338169250969,-0.07402790392867836,3790,1,0.4899736147757256,C
transport,運輸物流,9022,-0.019712718228394287,-0.030482499567189923,-0.032961096533049974,0.008071966832620379,3790,1,0.46754617414248023,C
transport,運輸物流,9021,-0.020022639754914383,-0.03654726045397318,-0.03370121069306549,0.01476337240040016,3790,1,0.4730870712401055,C
transport,運輸物流,9107,-0.022263014927386783,0.02084088927601978,-0.06679777699814786,-0.008544563794818164,3790,1,0.4551451187335092,C
transport,運輸物流,9006,-0.03326419400901612,-0.031961480188959245,-0.05647226405841697,0.004374914056032478,3790,1,0.4620052770448549,D
transport,運輸物流,9201,-0.0354889669844709,-0.013953434217637681,-0.06937523168417924,-0.004107829501344463,3790,0,0.40184696569920847,D
transport,運輸物流,9001,-0.037175855701990154,-0.0465129442896851,-0.04500377055906361,-0.017276800335352706,3790,0,0.46279683377308706,D
transport,運輸物流,9005,-0.0379712470232914,-0.0526200822681934,-0.04325855100744068,-0.020359069794636173,3790,0,0.45699208443271766,D
transport,運輸物流,9202,-0.04731504927470617,-0.09738522479749642,-0.0669377166957332,0.030865099166489895,3790,1,0.46226912928759895,D
transport,運輸物流,9062,,,,,0,0,,C
transport,運輸物流,9070,,,,,0,0,,C
retail,小売,2780,0.02182607013107489,0.011169785930110754,-0.027325908492963,0.07502322915824765,3790,2,0.45488126649076516,B
retail,小売,3048,0.0116521951551045,0.004926454291066197,0.004149998568732503,0.028709461932494275,3790,3,0.454089709762533,C
retail,小売,8267,0.011064616157728316,0.026127519346220738,-0.015672653347891564,0.026449125898333866,3790,2,0.46912928759894457,C
retail,小売,3197,0.005344547684979228,0.13288232615919288,0.017587813062381042,-0.048627670807345987,2722,2,0.48457016899338723,C
retail,小売,7453,0.00418207515966823,0.009117543695621731,-0.023273015262541847,0.027472323612054848,3790,2,0.47862796833773086,C
retail,小売,3092,-0.003883069699428648,0.051675075605242954,-0.052119926395279445,-0.01745363267647643,3790,1,0.49234828496042216,C
retail,小売,2502,-0.004724599495601725,-0.03249463853509819,-0.018844612991755202,0.03842121887237295,3790,1,0.4841688654353562,C
retail,小売,8233,-0.0075726899883964026,0.0008407716523100483,0.058289865915206615,-0.07861701431084969,3790,2,0.4715039577836412,C
retail,小売,3088,-0.011001051075132287,-0.010985500765151856,0.01996194427991227,-0.04408310599724153,3790,1,0.48601583113456465,C
retail,小売,2753,-0.012245384779169826,0.009380681661244129,-0.038054101097518216,-0.013463871195958967,3790,1,0.44802110817941954,C
retail,小売,3086,-0.013804862522773449,-0.015854235127821623,0.01573078997837977,-0.042944515402719666,3790,1,0.4762532981530343,C
retail,小売,9843,-0.015207757111784997,-0.017203648415948538,-0.014921073398104973,-0.013965776069274047,3790,0,0.47493403693931396,C
retail,小売,4755,-0.01933120602199105,0.005854090322572727,-0.03648411032562556,-0.023838694871229124,3790,1,0.47335092348284963,C
retail,小売,3099,-0.029897919278505124,-0.018844064589759013,-0.00406038651808694,-0.06359861651969517,3790,0,0.47546174142480213,C
