year,ticker,sector,sector_name,long_days,short_days,total_days,total_return,avg_daily_pct
2013,9984,it_services,情報通信,2,1,3,-0.044493,-1.4830999999999999
2013,9501,utilities,電力ガス,86,79,165,0.631168,0.3825260606060606
2013,9308,transport,運輸物流,1,1,2,-0.003065000000000001,-0.15325000000000005
2013,8053,trading,商社卸売,104,112,216,-0.16606300000000004,-0.07688101851851854
2013,2780,retail,小売,108,101,209,0.43022400000000005,0.2058488038277512
2013,8354,banks,銀行,80,94,174,-0.06415500000000002,-0.03687068965517243
2013,8725,finance,金融,1,1,2,0.033437,1.67185
2013,8984,realestate,不動産,1,2,3,-0.011900999999999998,-0.39669999999999994
2014,2587,food,食品,94,94,188,0.30042199999999997,0.15979893617021274
2014,5020,energy,エネルギー,105,105,210,0.13747,0.06546190476190476
2014,5233,construction,建設,3,5,8,-0.016040000000000002,-0.20050000000000004
2014,4004,materials,素材化学,3,0,3,-0.012369999999999999,-0.41233333333333333
2014,4536,pharma,医薬品,77,66,143,0.324471,0.22690279720279724
2014,7282,auto,自動車,84,85,169,0.142826,0.08451242603550296
2014,5713,steel,鉄鋼非鉄,1,3,4,0.013636999999999998,0.340925
2014,6113,machinery,機械,0,2,2,-1.1999999999999858e-05,-0.0005999999999999929
2014,6971,electronics,電機精密,1,0,1,0.013035,1.3034999999999999
2014,9984,it_services,情報通信,5,6,11,0.003368000000000001,0.03061818181818183
2014,9501,utilities,電力ガス,68,78,146,0.16014799999999998,0.10969041095890411
2014,9308,transport,運輸物流,3,2,5,-0.037742,-0.75484
2014,8053,trading,商社卸売,90,91,181,0.039667999999999995,0.021916022099447513
2014,2780,retail,小売,107,104,211,0.253915,0.12033886255924171
2014,8354,banks,銀行,63,63,126,0.289327,0.22962460317460318
2014,8725,finance,金融,1,1,2,-0.0015420000000000004,-0.07710000000000002
2014,8984,realestate,不動産,3,3,6,-0.06697600000000001,-1.1162666666666667
2015,2587,food,食品,60,60,120,0.130337,0.10861416666666666
2015,5020,energy,エネルギー,89,102,191,0.135805,0.0711020942408377
2015,5233,construction,建設,1,0,1,-0.003464,-0.3464
2015,4004,materials,素材化学,5,1,6,0.017405999999999998,0.29009999999999997
2015,4536,pharma,医薬品,97,80,177,0.417212,0.23571299435028248
2015,7282,auto,自動車,88,91,179,0.11103000000000002,0.06202793296089386
2015,5713,steel,鉄鋼非鉄,3,1,4,0.010306,0.25765
2015,6113,machinery,機械,0,1,1,-0.004228,-0.4228
2015,6971,electronics,電機精密,2,1,3,-0.024108,-0.8036
2015,9984,it_services,情報通信,1,0,1,-0.007564,-0.7564000000000001
2015,9501,utilities,電力ガス,95,91,186,0.19790099999999997,0.10639838709677418
2015,9308,transport,運輸物流,3,7,10,-0.05323,-0.5323
2015,8053,trading,商社卸売,94,103,197,0.05308700000000002,0.026947715736040625
2015,2780,retail,小売,109,97,206,0.31998800000000005,0.15533398058252432
2015,8354,banks,銀行,55,65,120,0.171794,0.14316166666666666
2015,8725,finance,金融,2,6,8,-0.007191999999999997,-0.08989999999999997
2015,8984,realestate,不動産,4,2,6,-0.03078000000000001,-0.5130000000000001
2016,2587,food,食品,112,100,212,0.20126700000000006,0.09493726415094342
2016,5020,energy,エネルギー,70,90,160,0.484055,0.302534375
2016,4004,materials,素材化学,2,5,7,-0.038189,-0.5455571428571429
2016,4536,pharma,医薬品,123,106,229,0.12592399999999992,0.05498864628820957
2016,7282,auto,自動車,59,63,122,0.296303,0.2428713114754098
2016,5713,steel,鉄鋼非鉄,0,1,1,0.04321,4.321
2016,6971,electronics,電機精密,1,1,2,0.005558,0.2779
2016,9984,it_services,情報通信,2,2,4,0.050205,1.255125
2016,9501,utilities,電力ガス,70,58,128,0.19930900000000004,0.15571015625000004
2016,9308,transport,運輸物流,1,0,1,-0.015064,-1.5064
2016,8053,trading,商社卸売,91,106,197,0.468716,0.2379269035532995
