,MOM
2013-04-10,-0.0095536486818397
2013-04-11,-0.0017392907534808598
2013-04-12,-0.011393161439421578
2013-04-15,-0.0027611087073949004
2013-04-16,-0.006412694244174179
2013-04-17,-0.00842536516386472
2013-04-18,-0.0019320132393488597
2013-04-19,0.0038755573100197845
2013-04-22,-0.010215500387570681
2013-04-23,0.0042366448421471805
2013-04-24,-0.0154794549665252
2013-04-25,-0.0036204230052932
2013-04-26,-0.0007835517998021398
2013-04-30,0.005376563135475301
2013-05-01,0.0032220933658504997
2013-05-02,0.0028419571264759603
2013-05-07,-0.0026856239920322405
2013-05-08,-0.00774729989150986
2013-05-09,-0.003046612941522798
2013-05-10,0.0052894261296206595
2013-05-13,0.0008097153867122802
2013-05-14,-0.005422197789243799
2013-05-15,-0.00264989281529702
2013-05-16,-0.0017189202758914187
2013-05-17,0.007712484522465661
2013-05-20,-0.0077894350652380605
2013-05-21,-0.03221205221897004
2013-05-22,0.00038372599591487977
2013-05-23,-0.024674455541044138
2013-05-24,0.022788074718672703
2013-05-28,-0.0008930541602782185
2013-05-29,0.006943737269132379
2013-05-30,0.007507323903599779
2013-05-31,-0.00032105321437430993
2013-06-03,0.0014330280846468393
2013-06-04,0.02294720561389322
2013-06-05,-0.02299287192590678
2013-06-06,-0.00475533146637774
2013-06-07,0.01941587773645938
2013-06-10,-0.0012378598799367194
2013-06-11,-0.0023434981653095398
2013-06-12,0.025340352643551858
2013-06-13,0.00568059665895552
2013-06-14,0.00010457734251585922
2013-06-17,0.007376466923188666
2013-06-18,0.0007695254771013
2013-06-19,-0.003910420291942762
2013-06-20,0.004370568287601561
2013-06-21,0.0052558168617136206
2013-06-24,-0.01152821606588686
2013-06-25,-0.00942441844636956
2013-06-26,-0.008068300596052198
2013-06-27,-0.0028428189147550395
2013-06-28,0.0018322674368761987
2013-07-01,-0.0018548417622532803
2013-07-02,0.005935167452004141
2013-07-03,-0.01092392571868212
2013-07-05,0.0010274329385913205
2013-07-08,3.205208754721023e-06
2013-07-09,0.0029216533821230803
2013-07-10,0.008504640118206399
2013-07-11,-0.008998812238388859
2013-07-12,0.004992370715983845
2013-07-16,0.008447240067875181
2013-07-17,0.0033433814955068993
2013-07-18,-0.00344812513097861
2013-07-19,-0.0069373226415580195
