date,strategy_return,long_return,short_return,long_only_return,capital,capital_long_only,pnl,pnl_pct,is_correct,win_rate_total,win_rate_20d,total_days
2016-09-07,-0.000627,0.003401,0.004028,0.003401,1212123.0,969450.0,212123.0,0.212123,0,0.5641,0.55,78
2016-09-08,-0.004308,-0.005464,-0.001155,-0.005464,1206900.0,964153.0,206900.0,0.2069,0,0.557,0.5,79
2016-09-09,0.002684,-0.000708,-0.003393,-0.000708,1210140.0,963470.0,210140.0,0.21014,1,0.5625,0.55,80
2016-09-12,-0.003755,-0.009882,-0.006127,-0.009882,1205597.0,953950.0,205597.0,0.205597,0,0.5556,0.5,81
2016-09-13,0.004856,0.00348,-0.001376,0.00348,1211451.0,957269.0,211451.0,0.211451,1,0.561,0.55,82
2016-09-14,0.00144,-0.001428,-0.002868,-0.001428,1213196.0,955902.0,213196.0,0.213196,1,0.5663,0.6,83
2016-09-15,0.001424,-0.001296,-0.00272,-0.001296,1214923.0,954663.0,214923.0,0.214923,1,0.5714,0.6,84
2016-09-16,-0.004576,0.004527,0.009104,0.004527,1209364.0,958985.0,209364.0,0.209364,0,0.5647,0.6,85
2016-09-20,0.009362,0.002114,-0.007249,0.002114,1220686.0,961013.0,220686.0,0.220686,1,0.5698,0.65,86
2016-09-21,-0.016952,0.011928,0.02888,0.011928,1199993.0,972475.0,199993.0,0.199993,0,0.5632,0.65,87
2016-09-23,0.002822,-0.001536,-0.004358,-0.001536,1203380.0,970982.0,203380.0,0.20338,1,0.5682,0.65,88
2016-09-26,-0.014799,-0.018582,-0.003782,-0.018582,1185570.0,952939.0,185570.0,0.18557,0,0.5618,0.65,89
2016-09-27,8.3e-05,0.009687,0.009604,0.009687,1185669.0,962171.0,185669.0,0.185669,1,0.5667,0.65,90
2016-09-28,0.006934,0.002377,-0.004557,0.002377,1193891.0,964458.0,193891.0,0.193891,1,0.5714,0.65,91
2016-09-29,-0.001027,-0.003839,-0.002811,-0.003839,1192664.0,960756.0,192664.0,0.192664,0,0.5652,0.6,92
2016-09-30,0.013576,0.00035,-0.013226,0.00035,1208856.0,961092.0,208856.0,0.208856,1,0.5699,0.6,93
2016-10-03,-0.00251,-0.000381,0.002129,-0.000381,1205822.0,960725.0,205822.0,0.205822,0,0.5638,0.55,94
2016-10-04,-0.000691,-0.004601,-0.00391,-0.004601,1204988.0,956305.0,204988.0,0.204988,0,0.5579,0.5,95
2016-10-05,0.005466,0.002704,-0.002762,0.002704,1211575.0,958891.0,211575.0,0.211575,1,0.5625,0.55,96
2016-10-06,0.006302,0.006247,-5.5e-05,0.006247,1219210.0,964881.0,219210.0,0.21921,1,0.567,0.55,97
2016-10-07,0.004444,0.000573,-0.003871,0.000573,1224628.0,965434.0,224628.0,0.224628,1,0.5714,0.6,98
2016-10-11,-0.010003,-0.001565,0.008439,-0.001565,1212378.0,963923.0,212378.0,0.212378,0,0.5657,0.6,99
2016-10-12,0.004771,0.00166,-0.00311,0.00166,1218162.0,965524.0,218162.0,0.218162,1,0.57,0.6,100
2016-10-13,0.002023,-0.004921,-0.006944,-0.004921,1220626.0,960772.0,220626.0,0.220626,1,0.5743,0.65,101
2016-10-14,-0.003073,0.002603,0.005675,0.002603,1216876.0,963273.0,216876.0,0.216876,0,0.5686,0.6,102
2016-10-17,0.004859,0.003276,-0.001583,0.003276,1222789.0,966428.0,222789.0,0.222789,1,0.5728,0.6,103
2016-10-18,-0.002486,0.000505,0.002991,0.000505,1219749.0,966917.0,219749.0,0.219749,0,0.5673,0.55,104
2016-10-19,0.005296,0.002747,-0.002549,0.002747,1226209.0,969573.0,226209.0,0.226209,1,0.5714,0.6,105
2016-10-20,0.00181,0.003027,0.001217,0.003027,1228429.0,972508.0,228429.0,0.228429,1,0.5755,0.6,106
2016-10-21,0.000267,-0.001414,-0.001681,-0.001414,1228756.0,971133.0,228756.0,0.228756,1,0.5794,0.65,107
2016-10-24,0.004185,0.000532,-0.003653,0.000532,1233898.0,971650.0,233898.0,0.233898,1,0.5833,0.65,108
2016-10-25,0.005152,0.002096,-0.003056,0.002096,1240255.0,973686.0,240255.0,0.240255,1,0.5872,0.7,109
2016-10-26,0.010076,0.003121,-0.006955,0.003121,1252752.0,976726.0,252752.0,0.252752,1,0.5909,0.7,110
2016-10-27,0.000241,-0.000181,-0.000422,-0.000181,1253055.0,976549.0,253055.0,0.253055,1,0.5946,0.7,111
2016-10-28,-0.00504,0.002407,0.007447,0.002407,1246739.0,978899.0,246739.0,0.246739,0,0.5893,0.7,112
2016-10-31,0.003854,0.002099,-0.001755,0.002099,1251544.0,980953.0,251544.0,0.251544,1,0.5929,0.7,113
